Identificador do processo de viagem,CÛdigo do Ûrg„o superior,Nome do Ûrg„o superior,Codigo do Ûrg„o pagador,Nome do Ûrgao pagador,CÛdigo da unidade gestora pagadora,Nome da unidade gestora pagadora,Tipo de pagamento,Valor
13227273,26000,MINISTERIO DA EDUCACAO,26241,UNIVERSIDADE FEDERAL DO PARANA,153079,UNIVERSIDADE FEDERAL DO PARANA,PASSAGEM                      ,239
13227345,26000,MINISTERIO DA EDUCACAO,26241,UNIVERSIDADE FEDERAL DO PARANA,153079,UNIVERSIDADE FEDERAL DO PARANA,PASSAGEM                      ,261
13228948,26000,MINISTERIO DA EDUCACAO,26237,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,153061,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,PASSAGEM                      ,3467
13303425,26000,MINISTERIO DA EDUCACAO,26238,UNIVERSIDADE FEDERAL DE MINAS GERAIS,153287,FACULDADE DE FILOSOFIA E CIENC. HUMANAS/UFMG,PASSAGEM                      ,900
13311158,32000,MINISTERIO DE MINAS E ENERGIA,32205,AGENCIA NACIONAL DO PETROLEO,323031,ESCRITORIO CENTRAL DA ANP,DI¡RIAS                       ,7292
13311158,32000,MINISTERIO DE MINAS E ENERGIA,32205,AGENCIA NACIONAL DO PETROLEO,323031,ESCRITORIO CENTRAL DA ANP,ServiÁo correlato: seguro     ,92
13311484,26000,MINISTERIO DA EDUCACAO,26351,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,158092,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,PASSAGEM                      ,379
13312420,26000,MINISTERIO DA EDUCACAO,26238,UNIVERSIDADE FEDERAL DE MINAS GERAIS,153287,FACULDADE DE FILOSOFIA E CIENC. HUMANAS/UFMG,PASSAGEM                      ,288
13313570,26000,MINISTERIO DA EDUCACAO,26238,UNIVERSIDADE FEDERAL DE MINAS GERAIS,153287,FACULDADE DE FILOSOFIA E CIENC. HUMANAS/UFMG,PASSAGEM                      ,487
13313636,26000,MINISTERIO DA EDUCACAO,26238,UNIVERSIDADE FEDERAL DE MINAS GERAIS,153287,FACULDADE DE FILOSOFIA E CIENC. HUMANAS/UFMG,PASSAGEM                      ,131
13313705,26000,MINISTERIO DA EDUCACAO,26238,UNIVERSIDADE FEDERAL DE MINAS GERAIS,153287,FACULDADE DE FILOSOFIA E CIENC. HUMANAS/UFMG,PASSAGEM                      ,307
13313860,26000,MINISTERIO DA EDUCACAO,26351,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,158092,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,RESTITUI«√O                   ,677
13313860,26000,MINISTERIO DA EDUCACAO,26351,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,158092,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,PASSAGEM                      ,473
13316329,26000,MINISTERIO DA EDUCACAO,26238,UNIVERSIDADE FEDERAL DE MINAS GERAIS,153287,FACULDADE DE FILOSOFIA E CIENC. HUMANAS/UFMG,PASSAGEM                      ,367
13318145,26000,MINISTERIO DA EDUCACAO,26351,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,158092,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,PASSAGEM                      ,423
13318424,26000,MINISTERIO DA EDUCACAO,26351,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,158092,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,DI¡RIAS                       ,380
13321275,26000,MINISTERIO DA EDUCACAO,26255,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,153036,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,PASSAGEM                      ,192
13321275,26000,MINISTERIO DA EDUCACAO,26255,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,153036,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,DI¡RIAS                       ,593
13321275,26000,MINISTERIO DA EDUCACAO,26255,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,153036,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,PASSAGEM                      ,154
13324025,26000,MINISTERIO DA EDUCACAO,26252,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,158401,CENTRO DESENV SUSTENTAVEL DO SEMIARIDO-UFCG,PASSAGEM                      ,482
13324521,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,DI¡RIAS                       ,1094
13324521,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,PASSAGEM                      ,254
13324642,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,PASSAGEM                      ,296
13324642,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,DI¡RIAS                       ,1094
13363388,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,PASSAGEM                      ,254
13363388,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,PASSAGEM                      ,299
13363610,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,PASSAGEM                      ,528
13363610,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,PASSAGEM                      ,430
13363907,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,2717
13369934,26000,MINISTERIO DA EDUCACAO,26408,"INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO",158290,INST.FED.DO MARANHAO/CAMPUS SANTA INES,PASSAGEM                      ,714
13370837,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,DI¡RIAS                       ,18895
13377973,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120016,GRUPAMENTO DE APOIO DE S J CAMPOS,Taxa de agenciamento          ,16
13378707,26000,MINISTERIO DA EDUCACAO,26241,UNIVERSIDADE FEDERAL DO PARANA,153079,UNIVERSIDADE FEDERAL DO PARANA,PASSAGEM                      ,632
13378931,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,PASSAGEM                      ,372
13378931,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,PASSAGEM                      ,487
13378932,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,PASSAGEM                      ,397
13383464,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,7657
13383514,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,7657
13387405,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,202
13387787,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,635
13387787,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,1055
13387787,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,838
13387787,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,20
13387787,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,112
13387787,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,2615
13387787,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,3133
13387787,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,518
13389012,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,7219
13391397,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,444
