Identificador do processo de viagem,Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço
13227273,Aéreo,Brasil,Paraná,Curitiba,Brasil,Santa Catarina,Florianópolis,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,238,0
13227345,Aéreo,Brasil,Paraná,Foz do Iguaçu,Brasil,Paraná,Curitiba,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,261,0
13228948,Aéreo,Egito,,Cairo,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,3467,0
13303425,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Chile,,Santiago,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,900,0
13311158,Aéreo,Cingapura,,Cingapura,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,3284,0
13311484,Aéreo,Brasil,São Paulo,Campinas,Brasil,Bahia,Salvador,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,379,0
13312420,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Minas Gerais,Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,175,0
13313570,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,487,0
13313636,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,348,0
13313705,Aéreo,Brasil,Paraná,Curitiba,Brasil,Minas Gerais,Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,307,0
13313860,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Bahia,Salvador,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,473,0
