Identificador do processo de viagem ,Sequência Trecho,Origem - Data,Origem - País,Origem - UF,Origem - Cidade,Destino - Data,Destino - País,Destino - UF,Destino - Cidade,Meio de transporte,Número Diárias,Missao?
13227273,2,20170214,Brasil,Paraná,Curitiba,20170214,Brasil,Santa Catarina,Florianópolis,Aéreo,0.00,"Não
"
13227273,1,20170212,Brasil,Santa Catarina,Florianópolis,20170214,Brasil,Paraná,Curitiba,Aéreo,0.00,"Sim
"
13227345,2,20170224,Brasil,Paraná,Curitiba,20170225,Brasil,Paraná,Foz do Iguaçu,Aéreo,0.00,"Não
"
13227345,1,20170222,Brasil,Paraná,Foz do Iguaçu,20170224,Brasil,Paraná,Curitiba,Aéreo,0.00,"Sim
"
13228948,1,20170204,Brasil,Minas Gerais,Juiz de Fora,20170204,Brasil,Rio de Janeiro,Rio de Janeiro,Veículo Oficial,0.00,"Não
"
13228948,3,20170208,Egito,,Cairo,20170209,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13228948,4,20170209,Brasil,Rio de Janeiro,Rio de Janeiro,20170209,Brasil,Minas Gerais,Juiz de Fora,Veículo Oficial,0.00,"Não
"
13228948,2,20170204,Brasil,Rio de Janeiro,Rio de Janeiro,20170208,Egito,,Cairo,Aéreo,0.00,"Sim
"
13303425,2,20170319,Brasil,Minas Gerais,Belo Horizonte,20170319,Chile,,Santiago,Aéreo,0.00,"Não
"
13303425,1,20170304,Chile,,Santiago,20170319,Brasil,Minas Gerais,Belo Horizonte,Aéreo,7.00,"Sim
"
13311158,2,20170121,Cingapura,,Cingapura,20170121,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13311158,1,20170114,Brasil,Rio de Janeiro,Rio de Janeiro,20170121,Cingapura,,Cingapura,Aéreo,6.00,"Sim
"
13311484,3,20170217,Brasil,Bahia,Cruz das Almas,20170217,Brasil,Bahia,Salvador,Rodoviário,0.00,"Não
"
13311484,1,20170212,Brasil,São Paulo,Campinas,20170212,Brasil,Bahia,Salvador,Aéreo,0.00,"Não
"
13311484,2,20170212,Brasil,Bahia,Salvador,20170217,Brasil,Bahia,Cruz das Almas,Rodoviário,0.00,"Sim
"
13311484,4,20170217,Brasil,Bahia,Salvador,20170217,Brasil,São Paulo,Campinas,Aéreo,0.00,"Não
"
13312420,1,20170223,Brasil,São Paulo,São Paulo,20170223,Brasil,Minas Gerais,Belo Horizonte,Aéreo,0.00,"Sim
"
13312420,2,20170223,Brasil,Minas Gerais,Belo Horizonte,20170223,Brasil,São Paulo,São Paulo,Aéreo,0.00,"Não
"
13313570,1,20170223,Brasil,São Paulo,São Paulo,20170225,Brasil,Minas Gerais,Belo Horizonte,Aéreo,0.00,"Sim
"
13313570,2,20170225,Brasil,Minas Gerais,Belo Horizonte,20170225,Brasil,São Paulo,São Paulo,Aéreo,0.00,"Não
"
